ab_time,gps_speed,acceleration,vehicle_speed,throttle_percentage,brake_percentage,steering_angle,gear_location,drive_mode,speed_KF,acc_KF,accModfiy
20210929:14:41:31.450,0.0288,-0.0391,0.0,0.1,0.0,0.0,0,人工驾驶,0.028800000000000003,-0.3831800000000001,-0.3831800000000001
20210929:14:41:31.502,0.0252,-0.0414,0.0,0.1,0.0,3.7,0,人工驾驶,0.02453822584246395,-0.3920962402949065,-0.40572
20210929:14:41:31.553,0.0396,-0.0361,0.0,0.1,0.0,3.7,0,人工驾驶,0.0031965840262188094,-0.35993863469064014,-0.35378000000000004
20210929:14:41:31.600,0.0072,-0.0413,0.0,0.1,0.0,3.7,0,自动驾驶,-0.03023002247991297,-0.3471294353002889,-0.40474000000000004
20210929:14:41:31.649,0.0288,-0.0361,0.0,0.1,0.0,3.71,0,自动驾驶,-0.037970899468995595,-0.309042232133995,-0.35378000000000004
20210929:14:41:31.700,0.018000000000000002,-0.0417,0.0,0.1,0.0,3.71,0,自动驾驶,-0.0470956670171552,-0.2885741772258648,-0.40866
20210929:14:41:31.751,0.0216,-0.0426,0.0,0.1,0.0,3.69,0,自动驾驶,-0.049870689465780826,-0.27022658787369136,-0.41748
20210929:14:41:31.802,0.0396,-0.0383,0.0,0.1,0.0,3.66,0,自动驾驶,-0.0417135701676607,-0.24726241581888075,-0.37534
20210929:14:41:31.849,0.0396,-0.0383,0.0,0.1,0.0,3.6,0,自动驾驶,-0.0356929631876249,-0.2311037634297315,-0.37534
20210929:14:41:31.856,0.0396,-0.0383,0.0,0.1,0.0,3.6,0,自动驾驶,-0.031232422259806856,-0.21943284204906982,-0.37534
20210929:14:41:31.899,0.0288,-0.0354,0.0,0.1,0.0,3.5,0,自动驾驶,-0.031850526521534715,-0.21072144913180696,-0.34692000000000006
20210929:14:41:31.955,0.0036,-0.0406,0.0,0.1,0.0,3.38,0,自动驾驶,-0.04290781913812036,-0.21105557027049124,-0.39788
20210929:14:41:32.004,0.0036,-0.0406,0.0,0.1,0.0,3.22,0,自动驾驶,-0.049531589835480075,-0.2097884273280096,-0.39788
20210929:14:41:32.051,0.036000000000000004,-0.0366,0.0,0.1,0.0,3.03,0,自动驾驶,-0.039609088112690746,-0.20049569554777136,-0.35868000000000005
20210929:14:41:32.100,0.0144,-0.0415,0.0,0.1,0.0,2.8,0,自动驾驶,-0.042494987010725745,-0.19998596739863592,-0.40670000000000006
20210929:14:41:32.149,0.0396,-0.0384,0.0,0.1,0.0,2.56,0,自动驾驶,-0.033567923870537794,-0.1938156239026724,-0.37632
20210929:14:41:32.200,0.0252,-0.0407,0.0,0.1,0.0,2.27,0,自动驾驶,-0.03387857260772064,-0.1929754254100433,-0.39886000000000005
20210929:14:41:32.250,0.0468,-0.0411,0.0,0.1,0.0,1.93,0,自动驾驶,-0.025390536703965627,-0.18950850702308678,-0.40278
20210929:14:41:32.299,0.0108,-0.0399,0.0,0.1,0.0,1.54,0,自动驾驶,-0.034299884936362976,-0.19178926865990922,-0.39102000000000003
20210929:14:41:32.350,0.0468,-0.0387,0.0,0.1,0.0,1.16,0,自动驾驶,-0.025239150702998595,-0.18715867211188036,-0.37926
20210929:14:41:32.401,0.0324,-0.0437,0.0,0.1,0.0,0.88,0,自动驾驶,-0.02589899334012375,-0.18896914736256798,-0.4282600000000001
20210929:14:41:32.457,0.0432,-0.0441,0.0,0.1,0.0,0.67,0,自动驾驶,-0.022201393309122176,-0.1893509835869562,-0.43218
20210929:14:41:32.499,0.07200000000000001,-0.0417,0.0,0.1,0.0,0.51,1,自动驾驶,-0.008147637483772448,-0.1850233236019973,-0.40866
20210929:14:41:32.550,0.0756,-0.040999999999999995,0.0,0.1,0.0,0.37,1,自动驾驶,0.002216500971036946,-0.18206447986935248,-0.4018
20210929:14:41:32.605,0.07200000000000001,-0.0431,0.0,0.1,0.0,0.26,1,自动驾驶,0.006959587245638162,-0.18240109645282498,-0.42238000000000003
20210929:14:41:32.653,0.0324,-0.0238,0.0,0.1,0.0,0.17,1,自动驾驶,-0.0033005264054058485,-0.17764517041802377,-0.23324000000000003
20210929:14:41:32.699,0.0288,-0.0419,0.0,0.1,0.0,0.11,1,自动驾驶,-0.013054936063889477,-0.18264754456463758,-0.41062000000000004
20210929:14:41:32.749,0.0972,-0.0539,0.0,0.1,0.0,0.07,1,自动驾驶,0.006267290319634747,-0.1837330449129287,-0.52822
20210929:14:41:32.800,0.0972,-0.0539,0.0,0.1,0.0,0.03,1,自动驾驶,0.017756937230037715,-0.1872793160919402,-0.52822
20210929:14:41:32.850,0.0648,-0.0603,0.0,0.1,0.0,0.01,1,自动驾驶,0.010440103303525116,-0.19993318159341142,-0.59094
20210929:14:41:32.887,0.0972,-0.0385,0.0,0.1,0.0,0.0,1,自动驾驶,0.020955232038058897,-0.19401227214532246,-0.3773
20210929:14:41:32.901,0.0972,-0.0385,0.0,0.1,0.0,0.0,1,自动驾驶,0.027816354790167058,-0.18995871392814,-0.3773
20210929:14:41:32.949,0.0216,-0.0414,0.0,0.1,0.0,-0.02,1,自动驾驶,0.0016571739845988062,-0.1987183692135723,-0.40572
20210929:14:41:32.999,0.0504,-0.0399,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.0031228062836111334,-0.19869199411582128,-0.39102000000000003
20210929:14:41:33.051,0.10800000000000001,-0.0499,0.0,0.1,0.0,-0.02,1,自动驾驶,0.01561585016735304,-0.19611644005904408,-0.48902
20210929:14:41:33.102,0.0576,-0.0358,0.0,0.1,0.0,-0.02,1,自动驾驶,0.008962961635205132,-0.19487511042142372,-0.35084
20210929:14:41:33.149,0.0468,-0.034,0.0,0.1,0.0,-0.02,1,自动驾驶,0.0010251938075152068,-0.1932634334049385,-0.33320000000000005
